# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-10518	WBGene00173096	F52B11.86		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1052	WBGene00049793	AC7.16		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1057	WBGene00050382	Y37A1B.143		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10572	WBGene00172857	Y43D4A.135		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10580	WBGene00167551	Y57G11A.127		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10627	WBGene00165845	T27E7.42		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10695	WBGene00170588	H16O14.47		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10697	WBGene00173074	F13G11.128		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10714	WBGene00173730	Y105C5B.1298		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10745	WBGene00173451	Y41E3.431		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10747	WBGene00167031	K01G12.11		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10753	WBGene00170991	Y73B6BL.192		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10763	WBGene00173969	Y7A9D.59		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10773	WBGene00172527	C52D10.109		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10785	WBGene00168552	M88.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10816	WBGene00168474	F28D1.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10818	WBGene00167042	E03H12.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10821	WBGene00169386	Y116A8B.56		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10831	WBGene00174715	Y105C5B.1390		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10833	WBGene00173731	Y45F10D.127		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10857	WBGene00173434	K01G12.20		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10892	WBGene00167048	T27E7.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10922	WBGene00171083	F02H6.62		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10927	WBGene00169538	C52E4.10		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10948	WBGene00165116	Y45F10D.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1095	WBGene00049942	Y37A1B.130		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10951	WBGene00174845	C52D10.128		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11011	WBGene00174408	Y37A1A.145		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11029	WBGene00170135	Y37A1B.245		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11033	WBGene00173094	Y105C5B.1254		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11058	WBGene00168800	Y7A9D.43		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11071	WBGene00174695	Y37A1A.146		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11088	WBGene00172557	H16O14.60		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11101	WBGene00173486	T05A1.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11115	WBGene00167851	Y45F10D.78		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11126	WBGene00169577	Y116A8B.59		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11138	WBGene00172742	Y37A1B.297		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11141	WBGene00168884	F41H10.21		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1115	WBGene00049781	Y57G11A.72		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11158	WBGene00167925	ZK1131.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11168	WBGene00168265	F52B11.58		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11169	WBGene00172572	Y57G11C.978		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11184	WBGene00170675	Y45F10D.105		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11190	WBGene00168975	Y105C5A.809		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1122	WBGene00048602	Y57G11C.302		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11222	WBGene00167381	F02H6.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11228	WBGene00172910	C46G7.98		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11260	WBGene00165797	Y116A8B.41		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11268	WBGene00171477	F13G11.111		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11275	WBGene00167709	Y110A7A.22		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11300	WBGene00165420	Y57G11A.89		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11314	WBGene00174897	Y105C5A.1259		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11316	WBGene00165660	F52B11.45		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-1133	WBGene00048538	Y51H4A.240		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11330	WBGene00170065	Y105C5B.1014		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11344	WBGene00172506	C08H9.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11346	WBGene00173515	H16O14.70		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11381	WBGene00167004	AC7.28		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1139	WBGene00048951	Y7A9D.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-114	WBGene00046756	Y116A8B.10		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11409	WBGene00165458	Y41E3.231		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11414	WBGene00168894	Y37A1A.103		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11450	WBGene00169244	Y116A8B.55		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11455	WBGene00168655	Y43D4A.107		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11461	WBGene00168807	Y7A9D.44		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11501	WBGene00166690	Y105C5B.739		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11513	WBGene00168524	C05C12.7		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11514	WBGene00174393	Y105C5A.1232		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11525	WBGene00168026	T27E7.49		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11529	WBGene00170710	C27A2.9		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11554	WBGene00170532	C25A8.8		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11567	WBGene00174161	T12F5.6		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1157	WBGene00048522	K08B4.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11585	WBGene00170835	F27C1.14		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11604	WBGene00172417	C06G3.15		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11622	WBGene00172972	C06E7.77		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11631	WBGene00168457	D1007.21		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11635	WBGene00170384	Y105C5B.1038		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11645	WBGene00172194	Y73F8A.960		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1165	WBGene00045986	C46G7.10		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11653	WBGene00171505	ZC513.13		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11675	WBGene00174728	C06E7.84		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11686	WBGene00173302	F52B11.89		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11689	WBGene00167954	Y57G11A.132		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11698	WBGene00168608	Y105C5A.771		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11721	WBGene00168378	K01G12.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11726	WBGene00169924	T27E7.56		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11729	WBGene00173417	Y43D4A.141		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11733	WBGene00169355	Y9C9A.74		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11744	WBGene00168498	Y73F8A.728		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11750	WBGene00173220	Y37A1B.308		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11815	WBGene00173568	R57.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11854	WBGene00170964	C41G7.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11860	WBGene00168375	C29E4.16		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11886	WBGene00167303	F13B12.9		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11906	WBGene00172126	Y43D4A.128		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11924	WBGene00173348	Y45F10D.124		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1194	WBGene00048256	C52D10.38		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11959	WBGene00165151	Y7A9D.26		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1196	WBGene00049885	Y57G11A.74		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11978	WBGene00172056	F55F1.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12003	WBGene00172575	Y37A1A.128		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12008	WBGene00173688	C52D10.114		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12032	WBGene00168501	F52B11.60		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12059	WBGene00167435	B0252.9		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1207	WBGene00048170	H16O14.12		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12103	WBGene00173594	C01G5.24		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12113	WBGene00165342	F13G11.58		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12171	WBGene00168752	Y57G11C.736		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12180	WBGene00166924	C46G7.52		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12193	WBGene00166219	Y73B6BL.107		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12199	WBGene00167328	F38A5.15		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12231	WBGene00173360	Y57G11A.202		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12235	WBGene00169089	C28D4.13		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12255	WBGene00173724	T12B3.5		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12259	WBGene00170690	D2030.13		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12268	WBGene00169156	C46G7.68		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12279	WBGene00168505	H28O16.3		0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12303	WBGene00166115	AC7.22		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12307	WBGene00166234	Y45F10D.69		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12323	WBGene00167883	C06G8.6		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12339	WBGene00166591	Y43B11AR.9		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-12360	WBGene00168323	Y105C5A.748		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12405	WBGene00169552	Y7A9D.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12410	WBGene00170728	Y45F10D.106		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12454	WBGene00172646	Y116A8B.79		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12465	WBGene00172419	Y92H12A.7		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12484	WBGene00167767	Y43D4A.98		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12499	WBGene00165052	W04B5.7		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12522	WBGene00165568	Y43D4A.72		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12535	WBGene00172086	Y57G11A.187		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12556	WBGene00166243	H02I12.9		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12572	WBGene00167250	Y73B6A.8		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12575	WBGene00166360	F58B3.10		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12578	WBGene00170782	C06E7.73		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1259	WBGene00047184	B0513.20		0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12632	WBGene00174073	C32H11.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12666	WBGene00167863	Y105C5B.824		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12675	WBGene00165954	Y73B6BL.103		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12676	WBGene00170458	T27E7.58		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12761	WBGene00166341	Y7A9D.33		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12762	WBGene00168700	T06D10.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12775	WBGene00166181	C46G7.45		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12778	WBGene00173814	Y57G11A.209		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12796	WBGene00171611	Y37A1B.281		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12835	WBGene00165064	Y45F10D.60		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12865	WBGene00171248	AC7.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12890	WBGene00172708	H16O14.65		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12905	WBGene00171830	Y57G11A.181		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12931	WBGene00165522	F52B11.44		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12937	WBGene00167822	F21C3.8		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12960	WBGene00168760	F26A3.10		0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12964	WBGene00165688	Y43D4A.75		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12981	WBGene00165233	R102.12		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12984	WBGene00173551	F41H10.32		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13081	WBGene00167701	F52B11.56		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13128	WBGene00165789	C06E7.49		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13156	WBGene00173624	Y105C5A.1169		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13187	WBGene00169421	Y73F8A.779		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
