# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-11799	WBGene00169972	F44E8.27		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11802	WBGene00172307	Y105C5A.1073		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11815	WBGene00173568	R57.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1183	WBGene00047309	Y105C5A.199		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11845	WBGene00171141	C10C5.8		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11854	WBGene00170964	C41G7.12		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11860	WBGene00168375	C29E4.16		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11869	WBGene00166947	Y105C5A.652		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11886	WBGene00167303	F13B12.9		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11892	WBGene00174382	M03D4.71		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11906	WBGene00172126	Y43D4A.128		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11924	WBGene00173348	Y45F10D.124		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11935	WBGene00168940	Y57G11C.752		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1194	WBGene00048256	C52D10.38		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11953	WBGene00172393	Y67A10B.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11959	WBGene00165151	Y7A9D.26		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1196	WBGene00049885	Y57G11A.74		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11978	WBGene00172056	F55F1.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11990	WBGene00168858	Y105C5A.794		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12008	WBGene00173688	C52D10.114		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12009	WBGene00169090	Y105C5A.815		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12019	WBGene00166312	Y105C5A.612		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12031	WBGene00174350	M03D4.70		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12045	WBGene00167634	Y51H4A.548		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1206	WBGene00046295	Y73F8A.102		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12081	WBGene00169716	Y105C5A.870		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12091	WBGene00172659	C02B10.62		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12113	WBGene00165342	F13G11.58		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12143	WBGene00167342	Y51H4A.534		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12157	WBGene00167272	Y105C5A.676		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12170	WBGene00171287	Y51H4A.728		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12171	WBGene00168752	Y57G11C.736		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12195	WBGene00173930	Y51H4A.879		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12205	WBGene00168297	F59G1.9		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12219	WBGene00168497	C53D6.13		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12231	WBGene00173360	Y57G11A.202		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12239	WBGene00172228	Y105C5A.1061		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12246	WBGene00166569	C46G7.48		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12247	WBGene00172287	C09B8.9		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12251	WBGene00166117	C46G7.43		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12277	WBGene00167694	F45E4.12		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12279	WBGene00168505	H28O16.3		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12281	WBGene00171548	C46G7.87		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12298	WBGene00169806	Y51H4A.656		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12307	WBGene00166234	Y45F10D.69		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12316	WBGene00171090	Y73F8A.889		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12330	WBGene00166311	T23E7.7		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12339	WBGene00166591	Y43B11AR.9		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-12340	WBGene00173690	C08F11.107		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12350	WBGene00169117	C27B7.10		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12363	WBGene00166031	Y105C5A.585		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12374	WBGene00170676	F48C1.10		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12405	WBGene00169552	Y7A9D.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12410	WBGene00170728	Y45F10D.106		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12454	WBGene00172646	Y116A8B.79		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12457	WBGene00171949	Y53F4B.50		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12484	WBGene00167767	Y43D4A.98		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12493	WBGene00167891	B0350.39		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12504	WBGene00167729	Y73F8A.673		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12515	WBGene00165385	Y57G11A.88		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12522	WBGene00165568	Y43D4A.72		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12535	WBGene00172086	Y57G11A.187		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12556	WBGene00166243	H02I12.9		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12572	WBGene00167250	Y73B6A.8		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12575	WBGene00166360	F58B3.10		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12580	WBGene00168072	Y105C5A.731		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1263	WBGene00046747	Y73F8A.145		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
