# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-10773	WBGene00172527	C52D10.109		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10785	WBGene00168552	M88.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1080	WBGene00047965	C27H2.28		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10816	WBGene00168474	F28D1.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10821	WBGene00169386	Y116A8B.56		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10831	WBGene00174715	Y105C5B.1390		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10833	WBGene00173731	Y45F10D.127		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10857	WBGene00173434	K01G12.20		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10891	WBGene00171188	Y73F8A.898		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10892	WBGene00167048	T27E7.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10927	WBGene00169538	C52E4.10		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10947	WBGene00171833	Y57G11A.182		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10948	WBGene00165116	Y45F10D.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10951	WBGene00174845	C52D10.128		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10952	WBGene00168009	F55B11.80		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1098	WBGene00047752	F02H6.20		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10992	WBGene00173620	C06E7.80		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10998	WBGene00170658	W03F8.55		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11018	WBGene00174241	F44E8.40		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11033	WBGene00173094	Y105C5B.1254		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
21ur-11088	WBGene00172557	H16O14.60		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11101	WBGene00173486	T05A1.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11102	WBGene00171903	Y57G11A.184		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11115	WBGene00167851	Y45F10D.78		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11120	WBGene00171340	C06E7.75		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11126	WBGene00169577	Y116A8B.59		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1115	WBGene00049781	Y57G11A.72		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11151	WBGene00165027	Y73F8A.500		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11152	WBGene00171014	F44E8.34		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11165	WBGene00171718	C13B4.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11168	WBGene00168265	F52B11.58		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11169	WBGene00172572	Y57G11C.978		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11184	WBGene00170675	Y45F10D.105		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11194	WBGene00166765	F02H6.43		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1122	WBGene00048602	Y57G11C.302		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11222	WBGene00167381	F02H6.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11223	WBGene00170139	F02H6.58		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11260	WBGene00165797	Y116A8B.41		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11261	WBGene00171311	F41H10.27		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11268	WBGene00171477	F13G11.111		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11300	WBGene00165420	Y57G11A.89		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11313	WBGene00173376	Y73B6BL.241		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11315	WBGene00169342	C31H1.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11316	WBGene00165660	F52B11.45		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11330	WBGene00170065	Y105C5B.1014		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
21ur-11344	WBGene00172506	C08H9.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11346	WBGene00173515	H16O14.70		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-114	WBGene00046756	Y116A8B.10		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11417	WBGene00166713	F44E8.19		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11450	WBGene00169244	Y116A8B.55		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11455	WBGene00168655	Y43D4A.107		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11466	WBGene00165893	Y73B6BL.99		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11473	WBGene00166399	Y73F8A.598		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11486	WBGene00165087	ZK550.22		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11493	WBGene00172024	F55B11.114		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11501	WBGene00166690	Y105C5B.739		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11512	WBGene00172983	Y73F8A.1020		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11525	WBGene00168026	T27E7.49		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11527	WBGene00171778	C31H1.71		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11529	WBGene00170710	C27A2.9		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11554	WBGene00170532	C25A8.8		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11559	WBGene00172909	F44E8.36		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1157	WBGene00048522	K08B4.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11587	WBGene00169234	F46H6.6		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11601	WBGene00168419	Y57G11A.139		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11615	WBGene00167205	Y57G11A.117		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11621	WBGene00167074	Y57G11A.116		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11631	WBGene00168457	D1007.21		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11635	WBGene00170384	Y105C5B.1038		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11653	WBGene00171505	ZC513.13		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11684	WBGene00169173	F02H6.53		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11686	WBGene00173302	F52B11.89		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11689	WBGene00167954	Y57G11A.132		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11705	WBGene00174677	ZK550.41		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11716	WBGene00169684	Y57G11A.155		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11721	WBGene00168378	K01G12.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11726	WBGene00169924	T27E7.56		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11729	WBGene00173417	Y43D4A.141		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11799	WBGene00169972	F44E8.27		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11825	WBGene00168120	C31H1.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11845	WBGene00171141	C10C5.8		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11854	WBGene00170964	C41G7.12		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11860	WBGene00168375	C29E4.16		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11906	WBGene00172126	Y43D4A.128		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11924	WBGene00173348	Y45F10D.124		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11927	WBGene00172545	H34C03.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1194	WBGene00048256	C52D10.38		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11947	WBGene00173472	W03F8.63		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11953	WBGene00172393	Y67A10B.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1196	WBGene00049885	Y57G11A.74		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11978	WBGene00172056	F55F1.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12008	WBGene00173688	C52D10.114		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12047	WBGene00171130	T04D1.6		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1207	WBGene00048170	H16O14.12		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12072	WBGene00170381	F12A10.10		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12113	WBGene00165342	F13G11.58		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12120	WBGene00170446	Y37A1B.252		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12126	WBGene00167409	F26D2.18		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12171	WBGene00168752	Y57G11C.736		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12194	WBGene00169298	F58E6.14		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12199	WBGene00167328	F38A5.15		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12231	WBGene00173360	Y57G11A.202		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12247	WBGene00172287	C09B8.9		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12255	WBGene00173724	T12B3.5		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12275	WBGene00171270	C10G6.42		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12277	WBGene00167694	F45E4.12		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12279	WBGene00168505	H28O16.3		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12297	WBGene00170819	C36E8.7		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12301	WBGene00167452	Y116A8C.266		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12307	WBGene00166234	Y45F10D.69		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12339	WBGene00166591	Y43B11AR.9		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-12346	WBGene00168915	F55B11.90		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12404	WBGene00173591	F45E4.14		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12410	WBGene00170728	Y45F10D.106		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12436	WBGene00168850	Y73B6BL.149		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12443	WBGene00165098	Y57G11A.85		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12454	WBGene00172646	Y116A8B.79		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12484	WBGene00167767	Y43D4A.98		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12514	WBGene00171078	K01G12.16		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12515	WBGene00165385	Y57G11A.88		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12522	WBGene00165568	Y43D4A.72		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12533	WBGene00167997	Y57G11A.133		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12535	WBGene00172086	Y57G11A.187		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12556	WBGene00166243	H02I12.9		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12571	WBGene00170910	Y57G11A.172		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12572	WBGene00167250	Y73B6A.8		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12575	WBGene00166360	F58B3.10		0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-1259	WBGene00047184	B0513.20		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12640	WBGene00166897	F55B11.74		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12666	WBGene00167863	Y105C5B.824		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12668	WBGene00174293	F44E8.41		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12676	WBGene00170458	T27E7.58		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12695	WBGene00172727	Y73B6BL.220		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12701	WBGene00170257	M05D6.11		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12735	WBGene00167365	Y57G11A.122		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12757	WBGene00169079	F26D10.18		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12772	WBGene00168147	C31H1.52		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12778	WBGene00173814	Y57G11A.209		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1283	WBGene00046249	F55B11.14		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12872	WBGene00172428	K01G12.17		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12875	WBGene00170498	C06E7.69		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12886	WBGene00171032	F55B11.108		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12890	WBGene00172708	H16O14.65		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12905	WBGene00171830	Y57G11A.181		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12931	WBGene00165522	F52B11.44		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12937	WBGene00167822	F21C3.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12960	WBGene00168760	F26A3.10		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12964	WBGene00165688	Y43D4A.75		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12974	WBGene00171515	Y37A1B.277		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12981	WBGene00165233	R102.12		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13014	WBGene00166289	F57B9.11		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-13044	WBGene00165210	C10G6.22		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13111	WBGene00169881	Y43C5A.8		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13140	WBGene00172952	Y73B6BL.227		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13161	WBGene00167910	Y57G11A.131		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13172	WBGene00169532	Y73B6BL.160		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
