# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-10520	WBGene00166055	F25F8.3		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10539	WBGene00168817	Y11D7A.20		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1057	WBGene00050382	Y37A1B.143		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10572	WBGene00172857	Y43D4A.135		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10581	WBGene00166041	F37C12.19		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10627	WBGene00165845	T27E7.42		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10679	WBGene00170983	C26F1.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10693	WBGene00171652	M03D4.61		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10695	WBGene00170588	H16O14.47		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10697	WBGene00173074	F13G11.128		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10714	WBGene00173730	Y105C5B.1298		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1073	WBGene00050044	Y51H4A.342		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10745	WBGene00173451	Y41E3.431		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10763	WBGene00173969	Y7A9D.59		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10773	WBGene00172527	C52D10.109		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10785	WBGene00168552	M88.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1080	WBGene00047965	C27H2.28		0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10821	WBGene00169386	Y116A8B.56		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10831	WBGene00174715	Y105C5B.1390		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10892	WBGene00167048	T27E7.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10922	WBGene00171083	F02H6.62		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10927	WBGene00169538	C52E4.10		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10930	WBGene00167310	Y51H4A.530		0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1095	WBGene00049942	Y37A1B.130		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10951	WBGene00174845	C52D10.128		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11011	WBGene00174408	Y37A1A.145		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11029	WBGene00170135	Y37A1B.245		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11033	WBGene00173094	Y105C5B.1254		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11058	WBGene00168800	Y7A9D.43		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11071	WBGene00174695	Y37A1A.146		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11088	WBGene00172557	H16O14.60		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11100	WBGene00171678	R06C7.11		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11101	WBGene00173486	T05A1.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11118	WBGene00170185	M03D4.52		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11126	WBGene00169577	Y116A8B.59		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11130	WBGene00168422	Y73B6BL.143		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11138	WBGene00172742	Y37A1B.297		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1114	WBGene00050800	Y51H4A.392		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11158	WBGene00167925	ZK1131.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11165	WBGene00171718	C13B4.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11169	WBGene00172572	Y57G11C.978		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11212	WBGene00171783	Y57G11C.928		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1122	WBGene00048602	Y57G11C.302		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11222	WBGene00167381	F02H6.47		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11228	WBGene00172910	C46G7.98		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11260	WBGene00165797	Y116A8B.41		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11268	WBGene00171477	F13G11.111		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11275	WBGene00167709	Y110A7A.22		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1133	WBGene00048538	Y51H4A.240		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
21ur-11330	WBGene00170065	Y105C5B.1014		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11344	WBGene00172506	C08H9.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11346	WBGene00173515	H16O14.70		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11385	WBGene00168997	Y51H4A.616		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1139	WBGene00048951	Y7A9D.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-114	WBGene00046756	Y116A8B.10		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11414	WBGene00168894	Y37A1A.103		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11450	WBGene00169244	Y116A8B.55		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11455	WBGene00168655	Y43D4A.107		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11461	WBGene00168807	Y7A9D.44		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11501	WBGene00166690	Y105C5B.739		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11513	WBGene00168524	C05C12.7		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11525	WBGene00168026	T27E7.49		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11529	WBGene00170710	C27A2.9		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11554	WBGene00170532	C25A8.8		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1157	WBGene00048522	K08B4.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11585	WBGene00170835	F27C1.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11604	WBGene00172417	C06G3.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11631	WBGene00168457	D1007.21		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11635	WBGene00170384	Y105C5B.1038		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11642	WBGene00166291	C49A9.19		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1165	WBGene00045986	C46G7.10		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11653	WBGene00171505	ZC513.13		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11668	WBGene00171393	F33D4.9		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11686	WBGene00173302	F52B11.89		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11726	WBGene00169924	T27E7.56		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11729	WBGene00173417	Y43D4A.141		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11750	WBGene00173220	Y37A1B.308		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11860	WBGene00168375	C29E4.16		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11882	WBGene00170180	Y51H4A.673		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11886	WBGene00167303	F13B12.9		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11892	WBGene00174382	M03D4.71		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11906	WBGene00172126	Y43D4A.128		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11920	WBGene00166133	Y51H4A.462		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1194	WBGene00048256	C52D10.38		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11959	WBGene00165151	Y7A9D.26		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11978	WBGene00172056	F55F1.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12003	WBGene00172575	Y37A1A.128		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12008	WBGene00173688	C52D10.114		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12031	WBGene00174350	M03D4.70		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12032	WBGene00168501	F52B11.60		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12037	WBGene00165783	Y57G11C.545		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12059	WBGene00167435	B0252.9		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1207	WBGene00048170	H16O14.12		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12077	WBGene00169673	F55B11.102		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12091	WBGene00172659	C02B10.62		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12103	WBGene00173594	C01G5.24		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12113	WBGene00165342	F13G11.58		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12120	WBGene00170446	Y37A1B.252		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12126	WBGene00167409	F26D2.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12171	WBGene00168752	Y57G11C.736		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12180	WBGene00166924	C46G7.52		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12194	WBGene00169298	F58E6.14		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12199	WBGene00167328	F38A5.15		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12219	WBGene00168497	C53D6.13		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12254	WBGene00172612	H04M03.64		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12268	WBGene00169156	C46G7.68		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12277	WBGene00167694	F45E4.12		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12279	WBGene00168505	H28O16.3		0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12336	WBGene00167979	Y57G11C.689		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12339	WBGene00166591	Y43B11AR.9		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-12340	WBGene00173690	C08F11.107		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12375	WBGene00167212	C39E9.15		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12404	WBGene00173591	F45E4.14		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12405	WBGene00169552	Y7A9D.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12454	WBGene00172646	Y116A8B.79		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12457	WBGene00171949	Y53F4B.50		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12484	WBGene00167767	Y43D4A.98		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12492	WBGene00171077	Y44C4A.3		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12522	WBGene00165568	Y43D4A.72		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12549	WBGene00171251	Y57G11C.896		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12556	WBGene00166243	H02I12.9		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12565	WBGene00174758	H04M03.76		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12572	WBGene00167250	Y73B6A.8		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12575	WBGene00166360	F58B3.10		0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
21ur-1259	WBGene00047184	B0513.20		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12607	WBGene00174101	C36F7.7		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12640	WBGene00166897	F55B11.74		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12666	WBGene00167863	Y105C5B.824		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12676	WBGene00170458	T27E7.58		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12709	WBGene00165448	Y51H4A.428		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12715	WBGene00172122	Y51H4A.787		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12726	WBGene00169299	Y57G11C.775		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12761	WBGene00166341	Y7A9D.33		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12775	WBGene00166181	C46G7.45		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12796	WBGene00171611	Y37A1B.281		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1283	WBGene00046249	F55B11.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12830	WBGene00172145	T12A2.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12890	WBGene00172708	H16O14.65		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12914	WBGene00174399	Y57G11C.1096		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12937	WBGene00167822	F21C3.8		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-12945	WBGene00172684	C15C7.9		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1296	WBGene00049945	Y57G11C.412		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12960	WBGene00168760	F26A3.10		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12964	WBGene00165688	Y43D4A.75		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12975	WBGene00173203	W10G6.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12981	WBGene00165233	R102.12		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12994	WBGene00173618	F28B12.4		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13030	WBGene00171897	Y57G11C.935		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13045	WBGene00169285	Y51H4A.627		0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13056	WBGene00169168	Y57G11C.765		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13081	WBGene00167701	F52B11.56		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13087	WBGene00171704	Y57G11C.923		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13124	WBGene00174250	Y57G11C.1082		0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13147	WBGene00167738	M01A10.6		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13191	WBGene00166679	Y7A9D.36		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13221	WBGene00169375	R04F11.6		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13222	WBGene00173707	C08F11.108		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13226	WBGene00170698	D2092.11		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13227	WBGene00166374	C42C1.17		0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13238	WBGene00174261	Y51H4A.896		0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13240	WBGene00171582	C49C3.18		0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13274	WBGene00170152	M18.10		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13288	WBGene00173414	Y47H9B.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13313	WBGene00171985	R10E4.12		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-13364	WBGene00166518	H04M03.35		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
