# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-10374	WBGene00174225	Y105C5B.1347		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10409	WBGene00165853	B0350.27		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10421	WBGene00173335	C02B10.64		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10457	WBGene00168876	Y57G11A.145		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10461	WBGene00168258	C49A9.25		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10468	WBGene00171942	Y37A1A.120		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10469	WBGene00167101	Y7A9D.37		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10471	WBGene00171355	Y105C5A.998		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1048	WBGene00046810	F44E8.9		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10508	WBGene00172644	Y57G11C.980		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10512	WBGene00172645	R11E3.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10539	WBGene00168817	Y11D7A.20		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10554	WBGene00165336	Y73B6BL.87		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1057	WBGene00050382	Y37A1B.143		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10580	WBGene00167551	Y57G11A.127		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10581	WBGene00166041	F37C12.19		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10588	WBGene00174705	Y51H4A.915		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10597	WBGene00169431	Y57G11A.151		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10622	WBGene00172867	F44E8.35		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10627	WBGene00165845	T27E7.42		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10634	WBGene00165405	Y105C5B.643		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-10666	WBGene00170245	H20E11.6		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10677	WBGene00172399	W03F8.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10679	WBGene00170983	C26F1.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10697	WBGene00173074	F13G11.128		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10711	WBGene00173028	Y57G11A.198		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10742	WBGene00170730	B0350.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10745	WBGene00173451	Y41E3.431		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10759	WBGene00171765	Y57G11A.177		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10763	WBGene00173969	Y7A9D.59		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10773	WBGene00172527	C52D10.109		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10785	WBGene00168552	M88.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10787	WBGene00165156	Y73F8A.515		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10792	WBGene00168036	R11E3.11		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10800	WBGene00169636	Y105C5B.972		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10818	WBGene00167042	E03H12.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10821	WBGene00169386	Y116A8B.56		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10833	WBGene00173731	Y45F10D.127		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10869	WBGene00172490	ZK381.28		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10892	WBGene00167048	T27E7.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10927	WBGene00169538	C52E4.10		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10930	WBGene00167310	Y51H4A.530		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10947	WBGene00171833	Y57G11A.182		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10948	WBGene00165116	Y45F10D.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1095	WBGene00049942	Y37A1B.130		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10951	WBGene00174845	C52D10.128		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10967	WBGene00166120	R11E3.9		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10994	WBGene00174554	AC7.79		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-10998	WBGene00170658	W03F8.55		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11011	WBGene00174408	Y37A1A.145		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11018	WBGene00174241	F44E8.40		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11029	WBGene00170135	Y37A1B.245		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11034	WBGene00171473	Y57G11C.911		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11058	WBGene00168800	Y7A9D.43		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11071	WBGene00174695	Y37A1A.146		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11092	WBGene00170242	Y10G11A.59		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11100	WBGene00171678	R06C7.11		0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11101	WBGene00173486	T05A1.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11102	WBGene00171903	Y57G11A.184		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11115	WBGene00167851	Y45F10D.78		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11126	WBGene00169577	Y116A8B.59		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11138	WBGene00172742	Y37A1B.297		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1115	WBGene00049781	Y57G11A.72		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11152	WBGene00171014	F44E8.34		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11165	WBGene00171718	C13B4.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11168	WBGene00168265	F52B11.58		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11169	WBGene00172572	Y57G11C.978		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11184	WBGene00170675	Y45F10D.105		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1122	WBGene00048602	Y57G11C.302		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11258	WBGene00174244	Y73F8A.1104		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11260	WBGene00165797	Y116A8B.41		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11268	WBGene00171477	F13G11.111		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11269	WBGene00167089	B0350.33		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11275	WBGene00167709	Y110A7A.22		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1130	WBGene00048935	Y73F8A.327		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11300	WBGene00165420	Y57G11A.89		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11316	WBGene00165660	F52B11.45		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11343	WBGene00168723	C06E7.63		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11344	WBGene00172506	C08H9.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11361	WBGene00174451	C06E7.82		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1139	WBGene00048951	Y7A9D.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-114	WBGene00046756	Y116A8B.10		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11409	WBGene00165458	Y41E3.231		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11414	WBGene00168894	Y37A1A.103		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11417	WBGene00166713	F44E8.19		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1142	WBGene00050659	Y105C5A.494		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11450	WBGene00169244	Y116A8B.55		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11461	WBGene00168807	Y7A9D.44		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11466	WBGene00165893	Y73B6BL.99		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11525	WBGene00168026	T27E7.49		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11532	WBGene00172687	Y73F8A.997		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11554	WBGene00170532	C25A8.8		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11559	WBGene00172909	F44E8.36		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11604	WBGene00172417	C06G3.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11615	WBGene00167205	Y57G11A.117		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11621	WBGene00167074	Y57G11A.116		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11628	WBGene00172893	Y73F8A.1012		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11631	WBGene00168457	D1007.21		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1164	WBGene00046854	Y105C5A.156		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11653	WBGene00171505	ZC513.13		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11683	WBGene00173761	Y105C5A.1179		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11689	WBGene00167954	Y57G11A.132		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11726	WBGene00169924	T27E7.56		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11733	WBGene00169355	Y9C9A.74		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11750	WBGene00173220	Y37A1B.308		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11753	WBGene00174177	Y105C5A.1209		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11799	WBGene00169972	F44E8.27		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11802	WBGene00172307	Y105C5A.1073		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11854	WBGene00170964	C41G7.12		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11860	WBGene00168375	C29E4.16		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1187	WBGene00046347	Y105C5B.108		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11886	WBGene00167303	F13B12.9		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11924	WBGene00173348	Y45F10D.124		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1194	WBGene00048256	C52D10.38		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11944	WBGene00174930	C06E7.86		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11947	WBGene00173472	W03F8.63		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-11953	WBGene00172393	Y67A10B.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11959	WBGene00165151	Y7A9D.26		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1196	WBGene00049885	Y57G11A.74		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11978	WBGene00172056	F55F1.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12003	WBGene00172575	Y37A1A.128		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12008	WBGene00173688	C52D10.114		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12009	WBGene00169090	Y105C5A.815		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12019	WBGene00166312	Y105C5A.612		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12028	WBGene00168506	Y57G11C.727		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1203	WBGene00050503	C06E7.42		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12030	WBGene00169870	Y51H4A.661		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1205	WBGene00049016	C06E7.29		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12091	WBGene00172659	C02B10.62		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12113	WBGene00165342	F13G11.58		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12124	WBGene00167600	Y105C5B.799		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12126	WBGene00167409	F26D2.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12146	WBGene00174106	W03F8.64		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12158	WBGene00171858	F18C5.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12171	WBGene00168752	Y57G11C.736		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12199	WBGene00167328	F38A5.15		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12205	WBGene00168297	F59G1.9		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12219	WBGene00168497	C53D6.13		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12230	WBGene00168585	Y105C5B.893		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12231	WBGene00173360	Y57G11A.202		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12236	WBGene00173721	F53F4.20		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12277	WBGene00167694	F45E4.12		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12279	WBGene00168505	H28O16.3		0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12297	WBGene00170819	C36E8.7		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12303	WBGene00166115	AC7.22		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12307	WBGene00166234	Y45F10D.69		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12339	WBGene00166591	Y43B11AR.9		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-12340	WBGene00173690	C08F11.107		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12350	WBGene00169117	C27B7.10		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12364	WBGene00170628	K08E3.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12369	WBGene00170715	C17H12.23		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12370	WBGene00172955	Y105C5B.1245		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12375	WBGene00167212	C39E9.15		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12405	WBGene00169552	Y7A9D.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12410	WBGene00170728	Y45F10D.106		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12435	WBGene00173149	H04M03.68		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12436	WBGene00168850	Y73B6BL.149		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12454	WBGene00172646	Y116A8B.79		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12515	WBGene00165385	Y57G11A.88		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12535	WBGene00172086	Y57G11A.187		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12572	WBGene00167250	Y73B6A.8		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12575	WBGene00166360	F58B3.10		0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1259	WBGene00047184	B0513.20		0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12611	WBGene00172894	Y105C5B.1241		0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12617	WBGene00169944	Y43F4B.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12668	WBGene00174293	F44E8.41		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12676	WBGene00170458	T27E7.58		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12726	WBGene00169299	Y57G11C.775		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12759	WBGene00167631	Y51H4A.547		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12761	WBGene00166341	Y7A9D.33		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12778	WBGene00173814	Y57G11A.209		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12787	WBGene00165873	F56F10.6		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12796	WBGene00171611	Y37A1B.281		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12905	WBGene00171830	Y57G11A.181		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12931	WBGene00165522	F52B11.44		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12937	WBGene00167822	F21C3.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12943	WBGene00166530	Y51H4A.486		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12960	WBGene00168760	F26A3.10		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-1297	WBGene00048604	Y105C5A.309		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12977	WBGene00165095	F36F2.9		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-12981	WBGene00165233	R102.12		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13011	WBGene00174541	AC7.78		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13029	WBGene00169121	Y51H4A.619		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13045	WBGene00169285	Y51H4A.627		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
21ur-13055	WBGene00174999	Y105C5B.1409		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-13062	WBGene00165725	F56F10.5		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
