# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
21ur-10684	WBGene00166899	W03F8.39		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10685	WBGene00169909	Y57G11A.164		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10695	WBGene00170588	H16O14.47		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10697	WBGene00173074	F13G11.128		0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
21ur-10745	WBGene00173451	Y41E3.431		0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
21ur-10763	WBGene00173969	Y7A9D.59		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10773	WBGene00172527	C52D10.109		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10776	WBGene00167905	W03F8.44		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10785	WBGene00168552	M88.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10816	WBGene00168474	F28D1.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10817	WBGene00174160	T12B3.6		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10821	WBGene00169386	Y116A8B.56		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10832	WBGene00168074	F13G11.81		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10833	WBGene00173731	Y45F10D.127		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10860	WBGene00170160	Y105C5A.907		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10892	WBGene00167048	T27E7.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10911	WBGene00169600	H04M03.47		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-10927	WBGene00169538	C52E4.10		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10930	WBGene00167310	Y51H4A.530		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-10948	WBGene00165116	Y45F10D.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10951	WBGene00174845	C52D10.128		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-10998	WBGene00170658	W03F8.55		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11018	WBGene00174241	F44E8.40		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11026	WBGene00165752	K02B2.21		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11058	WBGene00168800	Y7A9D.43		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11071	WBGene00174695	Y37A1A.146		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11088	WBGene00172557	H16O14.60		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11100	WBGene00171678	R06C7.11		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11101	WBGene00173486	T05A1.15		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11105	WBGene00173944	C44A5.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11115	WBGene00167851	Y45F10D.78		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11126	WBGene00169577	Y116A8B.59		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11141	WBGene00168884	F41H10.21		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11152	WBGene00171014	F44E8.34		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11169	WBGene00172572	Y57G11C.978		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-11184	WBGene00170675	Y45F10D.105		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-1122	WBGene00048602	Y57G11C.302		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-11260	WBGene00165797	Y116A8B.41		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11268	WBGene00171477	F13G11.111		0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
21ur-11275	WBGene00167709	Y110A7A.22		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
21ur-11315	WBGene00169342	C31H1.61		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11344	WBGene00172506	C08H9.17		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11346	WBGene00173515	H16O14.70		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-1139	WBGene00048951	Y7A9D.18		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-114	WBGene00046756	Y116A8B.10		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11414	WBGene00168894	Y37A1A.103		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11417	WBGene00166713	F44E8.19		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11450	WBGene00169244	Y116A8B.55		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11461	WBGene00168807	Y7A9D.44		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11513	WBGene00168524	C05C12.7		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11525	WBGene00168026	T27E7.49		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11527	WBGene00171778	C31H1.71		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11529	WBGene00170710	C27A2.9		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-11559	WBGene00172909	F44E8.36		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1157	WBGene00048522	K08B4.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11581	WBGene00167976	Y105C5A.721		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11585	WBGene00170835	F27C1.14		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11587	WBGene00169234	F46H6.6		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11601	WBGene00168419	Y57G11A.139		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11605	WBGene00166830	W03F8.38		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11631	WBGene00168457	D1007.21		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11642	WBGene00166291	C49A9.19		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11645	WBGene00172194	Y73F8A.960		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11652	WBGene00167067	F28D1.16		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11653	WBGene00171505	ZC513.13		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11669	WBGene00166142	B0273.49		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-11716	WBGene00169684	Y57G11A.155		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11726	WBGene00169924	T27E7.56		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11744	WBGene00168498	Y73F8A.728		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11755	WBGene00172804	Y105C5A.1110		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11795	WBGene00165885	W03F8.36		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11799	WBGene00169972	F44E8.27		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11825	WBGene00168120	C31H1.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11860	WBGene00168375	C29E4.16		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11876	WBGene00171834	W03F8.58		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11924	WBGene00173348	Y45F10D.124		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-1194	WBGene00048256	C52D10.38		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-11947	WBGene00173472	W03F8.63		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11959	WBGene00165151	Y7A9D.26		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-11978	WBGene00172056	F55F1.4		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12008	WBGene00173688	C52D10.114		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1207	WBGene00048170	H16O14.12		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12077	WBGene00169673	F55B11.102		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12091	WBGene00172659	C02B10.62		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12113	WBGene00165342	F13G11.58		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
21ur-12171	WBGene00168752	Y57G11C.736		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-12199	WBGene00167328	F38A5.15		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12205	WBGene00168297	F59G1.9		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12219	WBGene00168497	C53D6.13		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12235	WBGene00169089	C28D4.13		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12255	WBGene00173724	T12B3.5		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12275	WBGene00171270	C10G6.42		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12277	WBGene00167694	F45E4.12		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12279	WBGene00168505	H28O16.3		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
21ur-12307	WBGene00166234	Y45F10D.69		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12330	WBGene00166311	T23E7.7		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12339	WBGene00166591	Y43B11AR.9		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
21ur-12340	WBGene00173690	C08F11.107		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1235	WBGene00046866	H04M03.21		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-12350	WBGene00169117	C27B7.10		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
21ur-12386	WBGene00167900	F54C9.13		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12405	WBGene00169552	Y7A9D.49		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12410	WBGene00170728	Y45F10D.106		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12443	WBGene00165098	Y57G11A.85		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12454	WBGene00172646	Y116A8B.79		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12457	WBGene00171949	Y53F4B.50		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12493	WBGene00167891	B0350.39		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12506	WBGene00166762	Y105C5A.638		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12533	WBGene00167997	Y57G11A.133		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12556	WBGene00166243	H02I12.9		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12571	WBGene00170910	Y57G11A.172		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12572	WBGene00167250	Y73B6A.8		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-12575	WBGene00166360	F58B3.10		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-1259	WBGene00047184	B0513.20		0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
21ur-12640	WBGene00166897	F55B11.74		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12668	WBGene00174293	F44E8.41		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12676	WBGene00170458	T27E7.58		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12694	WBGene00167285	W03F8.41		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12701	WBGene00170257	M05D6.11		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-12726	WBGene00169299	Y57G11C.775		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12735	WBGene00167365	Y57G11A.122		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12754	WBGene00165532	H04M03.32		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-12756	WBGene00174114	D2005.8		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12761	WBGene00166341	Y7A9D.33		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12772	WBGene00168147	C31H1.52		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12824	WBGene00174048	Y105C5A.1200		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-1283	WBGene00046249	F55B11.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12853	WBGene00165970	F28D1.14		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12877	WBGene00174787	C13D9.12		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12890	WBGene00172708	H16O14.65		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12980	WBGene00170659	F45H7.7		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-12981	WBGene00165233	R102.12		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-12984	WBGene00173551	F41H10.32		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13014	WBGene00166289	F57B9.11		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-13044	WBGene00165210	C10G6.22		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13045	WBGene00169285	Y51H4A.627		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13091	WBGene00167675	Y105C5A.697		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13124	WBGene00174250	Y57G11C.1082		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13177	WBGene00174384	Y69A2AR.34		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13187	WBGene00169421	Y73F8A.779		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13191	WBGene00166679	Y7A9D.36		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13198	WBGene00167897	ZK856.17		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13214	WBGene00173666	F44E8.37		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13222	WBGene00173707	C08F11.108		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13226	WBGene00170698	D2092.11		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13227	WBGene00166374	C42C1.17		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13232	WBGene00170789	F47G6.5		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13238	WBGene00174261	Y51H4A.896		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13240	WBGene00171582	C49C3.18		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13267	WBGene00169734	F09E10.12		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13288	WBGene00173414	Y47H9B.3		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13294	WBGene00169264	Y105C5A.832		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13366	WBGene00168112	F55B11.81		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13376	WBGene00173002	Y105C5A.1126		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13391	WBGene00173607	ZC410.8		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13401	WBGene00169325	Y105C5A.837		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13408	WBGene00165766	Y45F10D.67		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13449	WBGene00165091	Y116A8B.34		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13457	WBGene00167102	H04M03.36		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
21ur-13491	WBGene00167819	Y57G11C.681		0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
21ur-13506	WBGene00172556	Y73F8A.988		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13519	WBGene00165627	F25H5.11		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13594	WBGene00174066	C10G6.47		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13615	WBGene00165633	H06H21.15		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13618	WBGene00166865	C08F11.62		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13638	WBGene00166059	F55B11.69		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13681	WBGene00174171	Y105C5A.1208		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13709	WBGene00172156	F42G8.14		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21ur-13728	WBGene00166464	F55B11.71		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21ur-13737	WBGene00170427	H04M03.53		0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
