# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
eef-2	WBGene00001167	F25H5.4b.3	protein_coding	0	1	0	0	1	0	0	0
eef-2	WBGene00001167	F25H5.4b.4	protein_coding	0	1	0	0	1	0	0	0
eef-2	WBGene00001167	F25H5.4b.5	protein_coding	0	1	0	0	1	0	0	0
morc-1	WBGene00022531	ZC155.3.1	protein_coding	0	0	1	0	0	0	0	1
nduo-2	WBGene00010961	MTCE.16.1	protein_coding	0	0	1	1	0	0	0	0
nduo-3	WBGene00010966	MTCE.34.1	protein_coding	0	0	1	0	0	0	0	1
nduo-4	WBGene00010963	MTCE.25.1	protein_coding	0	0	1	1	0	0	0	0
nduo-5	WBGene00010967	MTCE.35.1	protein_coding	0	0	1	0	0	0	0	1
nex-1	WBGene00003588	ZC155.1.1	protein_coding	0	0	1	1	0	0	0	0
nex-1	WBGene00003588	ZC155.1.2	protein_coding	0	0	1	1	0	0	0	0
nit-1	WBGene00014206	ZK1058.6.1	protein_coding	0	0	1	0	0	0	0	1
nit-1	WBGene00014206	ZK1058.6.2	protein_coding	0	0	1	0	0	0	0	1
pat-3	WBGene00003930	ZK1058.2.1	protein_coding	0	0	1	0	0	0	0	1
prmt-5	WBGene00016408	C34E10.5.1	protein_coding	0	0	1	0	0	0	0	1
prmt-5	WBGene00016408	C34E10.5.2	protein_coding	0	0	1	0	0	0	0	1
prmt-5	WBGene00016408	C34E10.5.3	protein_coding	0	0	1	0	0	0	0	1
pyk-1	WBGene00009126	F25H5.3a.1	protein_coding	0	0	1	0	0	0	0	1
pyk-1	WBGene00009126	F25H5.3d.1	protein_coding	0	0	1	0	0	0	0	1
rrn-1.1	WBGene00004512	F31C3.7	rRNA	0	0	7	4	0	3	0	0
rrn-1.2	WBGene00004513	F31C3.8	rRNA	0	0	5	0	0	1	0	4
rrn-2.1	WBGene00004567	F31C3.11	rRNA	0	0	7	4	0	0	0	3
rrn-3.1	WBGene00004622	F31C3.9	rRNA	0	0	8	1	0	4	0	3
rrn-3.56	WBGene00004677	F31C3.10		0	0	4	4	0	0	0	0
srpr-2.1	WBGene00195016	ZC155.8	lincRNA	0	0	1	0	0	1	0	0
syx-16	WBGene00022534	ZC155.7.1	protein_coding	0	0	1	0	0	0	0	1
syx-16	WBGene00022534	ZC155.7.2	protein_coding	0	0	1	0	0	0	0	1
